language,chosen_advocacy,description
Tagalog,Access to Contraception and Reproductive Health Services,"Ang Pag-access sa Kontrasepsyon at Serbisyong Pang-reproduktibo ay mahalaga para sa mga indibidwal upang pamahalaan ang kanilang sekswal at reproduktibong kalusugan nang epektibo. Ang adbokasiyang ito ay nakatuon sa pagtitiyak na ang lahat, anuman ang edad, kasarian, o katayuang pang-ekonomiya, ay may access sa abot-kaya at maaasahang kontrasepsyon, serbisyo ng pagpaplano ng pamilya, at komprehensibong pangangalagang pang-reproduktibo. Kasama rito ang pag-edukasyon sa publiko tungkol sa mga magagamit na pagpipilian at pagtugon sa mga hadlang sa access."
Tagalog,Comprehensive Sex Education (CSE),"Komprehensibong Edukasyon sa Seks (CSE) ay nagbibigay sa mga kabataan ng kaalaman, kasanayan, at mga halaga na kailangan upang makagawa ng kaalamang desisyon tungkol sa kanilang sekswal at reproduktibong kalusugan. Sinasaklaw ng CSE ang isang malawak na hanay ng mga paksa, kabilang ang pag-unlad ng tao, mga relasyon, paggawa ng desisyon, pag-iwas sa pakikipagtalik, kontrasepsyon, at pagtuturo sa pag-iwas sa sakit. Ang layunin ay bigyan ang mga indibidwal ng tamang impormasyon, himukin ang responsableng pag-uugali, at itaguyod ang paggalang sa sarili at sa iba."
Tagalog,Consent and Healthy Relationships,"Edukasyon sa Pahintulot at Malusog na Relasyon ay nagbibigay-diin sa kahalagahan ng pagsalungat na paggalang, malinaw na komunikasyon, at pag-unawa sa mga hangganan sa lahat ng uri ng relasyon. Ang adbokasiyang ito ay nagtuturo sa mga indibidwal tungkol sa kahalagahan ng pagkuha at pagbibigay ng pahintulot, pagkilala sa mga hindi malusog na pag-uugali, at pagbuo ng mga relasyon na batay sa tiwala, pagkakapantay-pantay, at bukas na komunikasyon."
Tagalog,Sexual Orientation and Gender Identity,"Adbokasiya sa Sekswal na Oryentasyon at Kasarian Identidad ay naglalayong lumikha ng isang ma inclusibong kapaligiran kung saan ang mga indibidwal ay nakakaramdam ng seguridad at suporta sa paghahayag ng kanilang tunay na sarili. Kasama rito ang pag-edukasyon sa publiko tungkol sa diversidad ng mga sekswal na oryentasyon at mga pagkakakilanlan ng kasarian, pagtChallenge sa diskriminasyon at stigma, at pagtataguyod ng mga karapatan at kapakanan ng mga indibidwal na LGBTQ+."
Tagalog,Sexual Health and Rights,"Pangkalusugang Sekswal at mga Karapatan ay nakatuon sa karapatan ng lahat ng indibidwal na gumawa ng mga desisyon tungkol sa kanilang sekswal at reproduktibong kalusugan nang walang pamimilit, diskriminasyon, at karahasan. Ang adbokasiyang ito ay nagtataguyod ng access sa mga serbisyong pangkalusugang sekswal, edukasyon, at ang proteksyon ng mga karapatan ng mga indibidwal na ipahayag ang kanilang sekswalidad nang ligtas at may paggalang."
Tagalog,Sexual Violence Prevention and Support,"Pagtutukoy at Suporta para sa Pag-iwas sa Sekswal na Karahasan ay nagsasangkot ng mga estratehiya upang maiwasan ang sekswal na karahasan at magbigay ng suporta para sa mga nakaligtas. Ang adbokasiyang ito ay kinabibilangan ng edukasyon sa pagkilala at pag-iwas sa sekswal na karahasan, paghahandog ng mga mapagkukunan para sa mga nakaligtas, at paglikha ng isang kultura ng pananagutan at paggalang na nag-uugong sa mga nakasasakit na pag-uugali."
Tagalog,Parental and Caregiver Involvement,"Pagsasangkot ng Magulang at Tagapag-alaga sa edukasyon sa pangkalusugang sekswal ay mahalaga para sa pagpapatibay ng mga positibong mensahe at pagtitiyak na ang mga kabataan ay nakakatanggap ng tamang gabay. Ang adbokasiyang ito ay naghihikayat ng bukas na komunikasyon sa pagitan ng mga magulang, mga tagapag-alaga, at kabataan tungkol sa pangkalusugang sekswal at mga relasyon, na nagbibigay ng mga kagamitan at kaalaman na kailangan upang suportahan ang malusog na pag-unlad."
Tagalog,Equity and Access,"Katarungan at Access sa pangkalusugang sekswal ay nakatuon sa pagtitiyak na ang lahat ng indibidwal ay may patas na access sa impormasyon, serbisyo, at edukasyon sa pangkalusugang sekswal, anuman ang kanilang background, pagkakakilanlan, o sitwasyon. Ang adbokasiyang ito ay naglalayong alisin ang mga pagkakaiba at itaguyod ang mga inclusibong patakaran na nagbibigay sa lahat ng mga mapagkukunan na kailangan upang gumawa ng mga kaalamang desisyon tungkol sa kanilang sekswal at reproduktibong kalusugan."
Hiligaynon,Access to Contraception and Reproductive Health Services,"Pag-access sa Kontrasepsyon kag mga Serbisyo sa Reproduktibo nga Kahimsog importante para sa mga indibidwal agud mapangilal-an nila ang ila sekswal kag reproduktibo nga kahimsog sa epektibo nga paagi. Ang ini nga kampanya nagatutok sa pagpasiguro nga ang tanan, bisan ano pa man ang edad, gender, ukon sosyo-ekonomiya nga estado, may access sa masanag kag kasaligan nga kontrasepsyon, serbisyo sa pagplano sang pamilya, kag komprehensibo nga serbisyo sa reproduktibo nga kahimsog. Lakip sini ang pag-edukar sa publiko sa mga kapilian nga available kag pag-address sang mga hadlang sa access."
Hiligaynon,Comprehensive Sex Education (CSE),"Komprehensibo nga Edukasyon sa Sekswal (CSE) nagahatag sa mga kabataan sang kaalaman, abilidad, kag mga prinsipyo nga kinahanglan nila agud makabuhat sang husto nga desisyon parte sa ila sekswal kag reproduktibo nga kahimsog. Ang CSE nagatampok sang malapad nga mga topiko, lakip na ang pag-uswag sang tao, relasyon, paghimo sang desisyon, abstinensya, kontrasepsyon, kag paglikaw sa sakit. Ang tuyo amo ang paghatag sa mga indibidwal sang husto nga impormasyon, pagpalambo sang responsable nga pamatasan, kag pagpasiguro sang respeto para sa kaugalingon kag sa iban."
Hiligaynon,Consent and Healthy Relationships,"Edukasyon sa Pag-angkon sang Pagsugot kag Mal healthy nga Relasyon nagahatag-diin sang kahalagahan sang pareho nga respeto, klaro nga komunikasyon, kag pag-intindi sa mga hangganan sa tanan nga klase sang relasyon. Ang ini nga kampanya nagatudlo sa mga indibidwal parte sa kinahanglanon sang pag-angkon kag paghatag sang pagsugot, pag-ila sang mga hindi maayong pamatasan, kag pagpauswag sang mga relasyon nga nakabase sa pagsalig, pagkakapantay, kag bukas nga komunikasyon."
Hiligaynon,Sexual Orientation and Gender Identity,"Advocacy sa Sekswal nga Oriyentasyon kag Identidad sa Gender nagatuyo nga maghimo sang inclusive nga palibot nga ang mga indibidwal makabatyag nga luwas kag suportado sa pag-express sang ila tinuod nga kaugalingon. Lakip sini ang pag-edukar sa publiko parte sa pagkadiverse sang sekswal nga oryentasyon kag identidad sa gender, pag-challenge sa diskriminasyon kag stigma, kag pagpasiguro sang mga katungod kag kahimtang sang mga LGBTQ+ nga indibidwal."
Hiligaynon,Sexual Health and Rights,"Sekswal nga Kahimsog kag mga Katungod nagatutok sa katungod sang tanan nga indibidwal nga maghimo sang desisyon parte sa ila sekswal kag reproduktibo nga kahimsog nga wala sang pagkiling, diskriminasyon, kag karahasan. Ang ini nga kampanya nagapromote sang access sa mga serbisyo sa sekswal nga kahimsog, edukasyon, kag ang proteksyon sang mga katungod sang indibidwal nga ipahayag ang ila sekswalidad sa luwas kag may pagrespeto nga paagi."
Hiligaynon,Sexual Violence Prevention and Support,"Prebensyon kag Suporta sa Sekswal nga Karahasan nagalakip sang mga estratehiya para sa paglikaw sa sekswal nga karahasan kag paghatag sang suporta para sa mga nakaluwas. Ang ini nga kampanya nagalakip sang edukasyon parte sa pag-ila kag paglikaw sa sekswal nga karahasan, paghatag sang mga resources para sa mga nakaluwas, kag paghimo sang kultura sang accountability kag respeto nga nagadiskurihir sang mga masamok nga pamatasan."
Hiligaynon,Parental and Caregiver Involvement,"Pag-apil sang mga Ginikanan kag mga Tagapag-alaga sa edukasyon sa sekswal nga kahimsog importante para sa pagpatib-ong sang mga positibo nga mensahe kag pagpasiguro nga ang mga kabataan makabaton sang konsistente nga giya. Ang ini nga kampanya nagahalin sa bukas nga komunikasyon sa tunga sang mga ginikanan, tagapag-alaga, kag mga kabataan parte sa sekswal nga kahimsog kag mga relasyon, nagahatag sang mga himo-on kag kaalaman nga kinahanglanon agud masuportahan ang maayong pag-uswag."
Hiligaynon,Equity and Access,"Ekwidad kag Access sa sekswal nga kahimsog nagatutok sa pagpasiguro nga ang tanan nga indibidwal may patas nga pag-access sa impormasyon, mga serbisyo, kag edukasyon sa sekswal nga kahimsog, bisan ano pa man ang ila background, identidad, ukon sitwasyon. Ang ini nga kampanya nagapaninguha nga mawala ang mga disparity kag mag-promote sang inclusive nga mga polisiya nga nagahatag sa tanan sang mga resources nga kinahanglan nila agud makabuhat sang husto nga desisyon parte sa ila sekswal kag reproduktibo nga kahimsog."
Ilocano,Access to Contraception and Reproductive Health Services,"Ti Pagsapulan iti Kontrasepsyon ken Serbisyo para iti Reproductive Health ket napateg para kadagiti indibidwal a mangipatungpal iti nasayaat a pangipateg iti seksual ken reproductive health. Daytoy a panangisuro ket nakatutok iti panang-ensyurar a ti tunggal maysa, awan ti edad, kasarian, wenno estado a pangsikap, ket addaan ti sapasap a makasapul iti naawat a ken naalisto a kontrasepsyon, serbisyo ti panagplano ti pamilya, ken kumpleto a serbisyo para iti reproductive health. Kasaruno ti daytoy ket ti panangi-edukar iti publiko maipanggep kadagiti mabalin a pagpilian ken panang-atake kadagiti sagaba iti access."
Ilocano,Comprehensive Sex Education (CSE),"Komprehensibo a Sex Education (CSE) ket mangipaay kadagiti ubbing iti kaammo, abilidad, ken pagbanag a kasapulan da tapno makapagdesisyon a nakapateg maipanggep iti seksual ken reproductive health da. Ti CSE ket sumagmamano a saritaan, kas iti panagbalin a tao, relaciones, panagdesisyon, panagsardeng, kontrasepsyon, ken panangliklik iti sakit. Ti panggep ket mangipakpakaasi kadagiti indibidwal iti eksakto a impormasyon, mangsubli ti nasayaat a gawi, ken mangipromote ti respeto para kadagiti bagida ken kadagiti dadduma."
Ilocano,Consent and Healthy Relationships,"Consent ken Nasayaat a Relaciones a edukasyon ket mangipateg kadagiti importante a kasapulan ti tayag a respeto, klaro a komunikasyon, ken panakaamu dagiti hanggana iti amin a klase dagiti relaciones. Daytoy a panangisuro kat mangtutok kadagiti indibidwal maipanggep iti kasapulan a makaawat ken mangipabaet iti pahintulot, maamuan dagiti dakes a gawi, ken mangpatalged kadagiti relaciones a nakapundar iti pammati, pagkakaiba, ken bukas a komunikasyon."
Ilocano,Sexual Orientation and Gender Identity,"Sekswal a Orasiyon ken Kasarian a Identidad a panagpapalawag ket agtutok a mangaramid iti nainget a pagtalinaed a lugar a kasanga dagiti indibidwal a maragsakan ken kasapulan a mangipahayag iti nasukir a bagida. Daytoy ket sumaruno a mang-edukar iti publiko maipanggep iti pagkakaiba dagiti seksual a orasiyon ken kasarian a identidad, panagsukir iti diskriminasyon ken stigma, ken mangipromote ti karbengan ken kaayusan dagiti LGBTQ+ a tao."
Ilocano,Sexual Health and Rights,"Sekswal a Salun-at ken Karbengan ket nakatutok iti karbengan dagiti amin a indibidwal a mangdesisyon maipanggep iti seksual ken reproductive health da a nakalibre manipud iti pammabawan, diskriminasyon, ken karasak. Daytoy a panangisuro ket mangipromote iti access kadagiti serbisyo ti seksual a salun-at, edukasyon, ken ti panangsalaknib kadagiti karbengan dagiti indibidwal a mangipahayag iti seksualidad da nga awan ti parikut ken respeto."
Ilocano,Sexual Violence Prevention and Support,"Panagsagana iti Sekswal a Karasan ken Suportar ket naglaon iti estratehiya tapno mapagtalinaed ti panangliklik iti sekswal a karasan ken mangipaay ti suporta kadagiti nabiktima. Daytoy a panangisuro ket aglalawag iti edukasyon maipanggep iti panangamuan ken panangliklik iti sekswal a karasan, mangipaay dagiti kasangkapan para kadagiti nabiktima, ken mangaramid ti kultura ti panagpautang ken respeto a mangsukir kadagiti makapektar a gawi."
Ilocano,Parental and Caregiver Involvement,"Panagpartisipar iti Nagannak ken Agkakapitan iti edukasyon ti seksual a salun-at ket napateg para iti panangpatibker kadagiti positibo a mensahe ken panangisigurado a dagiti ubbing ket makawat kadagiti tulong. Daytoy a panangisuro ket mangtaginay iti bukas a komunikasyon iti nagannak, agkakapitan, ken kabataan maipanggep iti seksual a salun-at ken relaciones, mangipaay kadagiti kasangkapan ken kaammo a kasapulan tapno masuportaran ti nasayaat a panagpasiar."
Ilocano,Equity and Access,"Equidad ken Access iti seksual a salun-at ket nangrunaang naglaon iti panangisigurado a dagiti amin a indibidwal ket addaan ti nasayaat a access iti impormasyon, serbisyo, ken edukasyon a maipanggep iti seksual a salun-at, awan ti kasapulan iti background, identidad, wenno sitwasyon da. Daytoy a panangisuro ket agtarigagay a pakanayon dagiti pagkakaiba ken mangipromote ti inklusibo a polisiya a mangipaay kadagiti amin ti kasapulan a pondo tapno makapagdesisyon a nakapateg maipanggep iti seksual ken reproductive health da."
