language,age_group,actionable_steps
Cebuano,5 to 9 year old,"Hello! Samtang nagdako ka, importante nga mahibal-an nimo ang bahin sa imong lawas ug kung unsaon pagpanalipod sa imong kaugalingon. Ania ang pipila ka mga butang nga makatabang nimo nga mahimong kumpiyansa ug segurado samtang nagdako ka:
1. Ang imong lawas imo—okay lang nga moingon ug ""dili"" kung adunay maghimo nimo nga dili ka komportable.
2. Kat-oni ang husto nga mga ngalan para sa tanan nga bahin sa imong lawas aron makasulti ka niini nga klaro.
3. Respetoha ang mga hangganan sa uban ug pangayo ug permiso sa dili pa mohapuhap o magyapos sa usa ka tawo.
4. Isulti sa usa ka ginatamdan nga hamtong kung adunay mohapuhap nimo nga naghatag nimo ug kakulba.
5. Ilhi ang mga ginatamdan nga hamtong nga mahimo nimong istoryahan kung adunay mga pangutana o kabalaka bahin sa imong lawas."
Cebuano,10 to 15 year old,"Samtang mosulod ka sa imong mga tuig sa teen, ang imong lawas ug mga pagbati nag-usab, ug kini normal! Ania ang pipila ka mga tambag aron matabangan ka nga mapadayon ang exciting nga panahon nga kini nga may kumpiyansa:
1. Sabta ang mga pagbag-o sa puberty aron mahimong kumpiyansa sa imong nag-usab nga lawas.
2. Magtukod ug malungtaron nga relasyon nga nakabase sa pagrespeto, pagsalig, ug komunikasyon.
3. Kat-oni ang bahin sa consent, ug hibaloa nga importante nga mangayo ug permiso ug respitohan ang desisyon sa uban.
4. Protektahi ang imong privacy online ug mag-amping sa pagpaambit ug personal nga impormasyon o mga litrato.
5. Ihiwalay ang mga mito gikan sa tinuod bahin sa sex ug relasyon, ug pangitaa ang tukma nga impormasyon gikan sa mga tinubdan nga kasaligan."
Cebuano,16 to 19 year old,"Samtang mahimong mas independente ka, importante nga maghimo ka ug maalamon nga desisyon bahin sa imong sexual nga kahimsog ug relasyon. Ania ang pipila ka mga butang nga dapat nimo hinumduman:
1. Gumamit ug proteksyon, sama sa condom, aron malikayan ang STIs ug dili planadong pagbuntis kung aktibo ka sa pakighilawas.
2. Paghatag ug prioridad sa komunikasyon ug pagrespeto sa mga sexual nga relasyon.
3. Ayaw tugoti nga maimpluwensyahan ka sa pressure sa mga barkada sa imong mga desisyon bahin sa sex, alkohol, o droga.
4. Pagkahibalo sa mga resources nga available para sa impormasyon ug suporta sa sexual nga kahimsog.
5. Isipon ang long-term nga epekto sa imong mga desisyon bahin sa sex ug relasyon."
Cebuano,20 to 24 year old,"Karon nga ikaw usa na ka batan-ong adult, adunay ka na dugang nga responsibilidad para sa imong sexual nga kahimsog ug relasyon. Ania ang pipila ka mga tambag aron matabangan ka nga maghimo ug empowered nga mga desisyon:
1. Maghimo ug mga maalamon nga desisyon bahin sa sekswal nga aktibidad, base sa imong mga prinsipyo, gusto, ug mga hangganan.
2. Mag-focus sa pagpabilin sa malungtaron nga sexual nga relasyon pinaagi sa pagrespeto, consent, ug komunikasyon.
3. Mag-schedule ug regular nga check-up para sa sexual nga kahimsog, lakip na ang mga screening para sa STIs.
4. Tukia ang lain-laing mga pagpipilian sa contraceptive ug pili-a ang angay sa imong lifestyle ug panginahanglan.
5. Sabta ug dawata ang imong sexual nga pagkakilanlan ug oryentasyon nga walay paghusga."
Cebuano,25 year old or above,"Isip usa ka adult, ang pagmantener sa imong sexual nga kahimsog ug relasyon usa ka padayon nga proseso. Ania ang pipila ka mga tips aron masiguro nga magpabilin kang malungtaron ug kontento:
1. Panatilihi ang padayon nga pag-atiman sa sexual nga kahimsog, lakip na ang regular nga mga screening para sa STIs ug mga pag-istoryahan sa healthcare providers.
2. Panatilihi ang malungtaron ug malipayong sexual nga relasyon pinaagi sa padayon nga komunikasyon ug pagrespeto.
3. Magpabilin nga updated bahin sa mga pagpipilian sa reproductive health, lakip na ang family planning ug fertility.
4. Pangitaa ang suporta para sa pagdumala sa mga pagbag-o sa kinabuhi nga makaapekto sa sexual nga kahimsog ug relasyon.
5. I-advocate ang komprehensibo nga edukasyon sa sex ug ipaambit ang tukma nga impormasyon sa uban."
Ilocano,5 to 9 year old,"Kumusta! Kas iti panag-tubo mo, importante nga maamuan mo ti pakasaritaan ti bagim ken kasano nga maipreserbar ti seguridad mo. Adda dagiti banag a makatulong kadagiti ti agbalin a confident ken secured ka iti panag-tubo mo:
1. Ti bagim ket para kenka—okay laeng nga agsao ti ""hindi"" no adda mangaramid kenka a saan ka komportable.
2. Adalennaka dagiti umiso a nagan para iti amin a parte ti bagim tapno mabalin mo nga ibaga dagitoy a nalawag.
3. Respetoem dagiti limitasyon ti dadduma ken agkuna ka ti permiso sakbay nga agar-arubay wenno agyakap iti maysa nga tao.
4. Ibagam iti maysa a tignay a adult no adda maysa nga agsapa kadagiti kenka a makapagpabati kadagiti.
5. Tukuyem dagiti tignay a adult nga mabalin mo nga pagsaritaan no adda dagiti damdamag wenno kabutbuteng mo maipanggep iti bagim."
Ilocano,10 to 15 year old,"Kas iti panag-pasok mo iti teenage years, agbabago ti bagim ken dagiti pagbati mo, ket normal daytoy! Adda dagiti tips nga makatulong kadagiti nga pangipatakder ti confidence mo iti daytoy exciting a panawen:
1. Ammuem dagiti pagbabago iti puberty tapno agbalin ka a confident iti agtutubo a bagim.
2. Agbuo ka iti nasayaat nga relasyon a nakabase iti respeto, pagsalig, ken komunikasyon.
3. Adalennaka ti consent, ken ammun nga importante ti agkuna ti permiso ken irespeto ti desisyon ti dadduma.
4. Ipreserbar ti privacy mo online ken agtinnulong iti panangishare iti personal nga impormasyon wenno mga retrato.
5. Ihiwalay ti myths manipud iti facts maipanggep iti sex ken relasyon, ken agsapat ka ti eksakto nga impormasyon manipud kadagiti nasayaat a sources."
Ilocano,16 to 19 year old,"Kas iti panagbalin mo nga agindependiente, importante nga mangaramid ka ti mayan-anay nga desisyon maipanggep iti sexual health ken relasyon mo. Adda dagiti banag nga masapul nga tandaan:
1. Gumamit ti proteksyon, kasla condom, tapno maprotektaran ti STIs ken di planado nga pagbubuntis no aktibo ka iti pakighilawas.
2. Iprioritize ti komunikasyon ken kapwa respeto iti sexual nga relasyon.
3. Haan nga pasubli ti pressure ti barkada iti desisyon mo maipanggep iti sex, alak, wenno droga.
4. Ammuem dagiti resources a maipanggep iti impormasyon ken suporta para iti sexual health.
5. Isalip ti long-term nga epekto ti desisyon mo maipanggep iti sex ken relasyon."
Ilocano,20 to 24 year old,"Iti panagbalin mo a young adult, adda ka dagiti ad-adu nga responsibilidad para iti sexual health ken relasyon mo. Adda dagiti payo nga makatulong kadagiti nga mangaramid ti empowered nga desisyon:
1. Mangaramid ti mayan-anay nga desisyon maipanggep iti sexual activity, a nakabase iti prinsipyo mo, kayat, ken limitasyon.
2. Magfocus iti panangmaintain ti nasayaat nga sexual nga relasyon babaen iti kapwa respeto, consent, ken komunikasyon.
3. Agschedule ti regular nga check-up para iti sexual health, kasla dagiti STI screenings.
4. Tukuyem dagiti nagduduma nga contraceptive options ken piliem ti bagay a naangay iti lifestyle mo ken panginahanglan.
5. Ammuem ken akseptar ti sexual nga pagkakilanlan ken orientation mo nga awan ti panaghusga."
Ilocano,25 year old or above,"Kas adult, ti panang-maintain ti sexual health ken relasyon mo ket maysa a padayon nga proseso. Adda dagiti tips nga makatulong nga masiguro nga agpabilin kang malusog ken kontento:
1. Imaintain ti padayon nga pang-atiman iti sexual health, kasla dagiti regular nga STI screenings ken mga konsultasyon kadagiti healthcare providers.
2. Imaintain ti nasayaat ken napateg a sexual nga relasyon babaen iti padayon nga komunikasyon ken kapwa respeto.
3. Maging informed maipanggep iti reproductive health options, kasla family planning ken fertility.
4. Pangitaan ti suporta para iti pamahala ti kabutbuteng nga epekto ti biag nga makaapekto iti sexual health ken relasyon.
5. I-advocate ti komprehensibo nga edukasyon ti sex ken ipaay ti eksakto nga impormasyon kadagiti dadduma."
English,5 to 9 year old,"Hey there! As you’re growing up, it’s important to learn about your body and how to keep yourself safe. Here are some things that will help you feel confident and secure as you get older:
1. Your body belongs to you—it's okay to say ""no"" if someone makes you uncomfortable.
2. Learn the proper names for all your body parts so you can talk about them clearly.
3. Respect others' boundaries and ask for permission before touching or hugging someone.
4. Tell a trusted adult if someone touches you in a way that makes you feel uneasy.
5. Identify trusted adults you can talk to if you have any questions or concerns about your body."
English,10 to 15 year old,"As you’re entering your teenage years, your body and feelings are changing, and that’s totally normal! Here’s some advice to help you navigate this exciting time with confidence:
1. Understand the changes of puberty to feel confident about your developing body.
2. Build healthy relationships based on mutual respect, trust, and communication.
3. Learn about consent, and know that it’s important to always ask for and respect someone’s decision.
4. Protect your privacy online and be cautious about sharing personal information or images.
5. Separate myths from facts about sex and relationships, and seek accurate information from trusted sources."
English,16 to 19 year old,"As you become more independent, it’s important to make informed decisions about your sexual health and relationships. Here are some key things to keep in mind:
1. Use protection, like condoms, to prevent STIs and unplanned pregnancies if you're sexually active.
2. Prioritize communication and mutual respect in sexual relationships.
3. Don’t let peer pressure influence your decisions about sex, alcohol, or drugs.
4. Be aware of resources available for sexual health information and support.
5. Consider the long-term impacts of your choices regarding sex and relationships."
English,20 to 24 year old,"Now that you’re a young adult, you have more responsibility for your sexual health and relationships. Here’s some advice to help you make empowered choices:
1. Make informed decisions about sexual activity, knowing your values, desires, and boundaries.
2. Focus on maintaining healthy sexual relationships through mutual respect, consent, and communication.
3. Schedule regular sexual health check-ups, including STI screenings.
4. Explore different contraceptive options and choose what fits your lifestyle and needs.
5. Understand and accept your sexual identity and orientation without judgment."
English,25 year old or above,"As an adult, maintaining your sexual health and relationships is an ongoing process. Here are some tips to ensure you’re staying healthy and fulfilled:
1. Keep up with ongoing sexual health care, including regular STI screenings and discussions with healthcare providers.
2. Maintain healthy and fulfilling sexual relationships with ongoing communication and mutual respect.
3. Stay informed about reproductive health options, including family planning and fertility.
4. Seek support for navigating life changes that affect sexual health and relationships.
5. Advocate for comprehensive sex education and share accurate information with others."
